11/22/2016,Cash,0.78,11/9/2016,11/25/2016,12/2/2016,,NTES
8/29/2016,Cash,0.78,8/17/2016,8/31/2016,9/9/2016,,NTES
5/23/2016,Cash,0.73,5/11/2016,5/25/2016,6/3/2016,,NTES
3/9/2016,Cash,0.64,--,3/11/2016,3/18/2016,,NTES
11/24/2015,Cash,0.56,11/11/2015,11/27/2015,12/4/2015,,NTES
8/26/2015,Cash,0.44,8/12/2015,8/28/2015,9/4/2015,,NTES
5/22/2015,Cash,0.39,--,5/27/2015,6/5/2015,,NTES
2/23/2015,Cash,0.39,2/9/2015,2/25/2015,3/6/2015,,NTES
11/26/2014,Cash,0.36,--,12/1/2014,12/5/2014,,NTES
8/27/2014,Cash,0.37,--,8/29/2014,9/5/2014,,NTES
5/23/2014,Cash,0.34,5/14/2014,5/28/2014,6/6/2014,,NTES
2/24/2014,Cash,1.41,2/13/2014,2/26/2014,3/7/2014,,NTES
1/11/2013,Cash,1,--,1/15/2013,1/22/2013,,NTES
